Family,Genus,Species,Data_type,Size_sd,Size_Est,P4_sd,P4_Est,m1_sd,m1_Est
Canidae,Lycaon,sekowei,Inferred_teeth,0.2,1.47,0,1.41,0.049,1.428
Canidae,Mececyon,trinilensis,Inferred_teeth,0.22,0.956,0.05,1.202,0,1.23
Canidae,Mesocyon,brachyops,Inferred_teeth,0.323,1.09,0,1.141,0,1.165
Canidae,Mesocyon,coryphaeus,Inferred_teeth,0.295,1.203,0,1.176,0,1.224
Canidae,Mesocyon,temnodon,Inferred_teeth,0.318,1.007,0,1.097,0,1.139
Canidae,Metalopex,bakeri,Inferred_teeth,0.253,0.699,0,1.068,0,1.097
Canidae,Metalopex,macconnelli,Inferred_teeth,0.243,0.658,0,1.037,0,1.092
Canidae,Metalopex,merriami,Inferred_teeth,0.275,0.852,0,1.13,0,1.163
Canidae,Metatomarctus,canavus,Inferred_teeth,0.359,1.221,0,1.191,0,1.242
Canidae,Microtomarctus,conferta,Inferred_teeth,0.371,1.089,0,1.132,0,1.189
Canidae,Nyctereutes,abdeslami,Inferred_teeth,0.208,0.922,0,1.076,0,1.192
Canidae,Nyctereutes,barryi,Inferred_teeth,0.209,0.89,0,1.093,0,1.149
Canidae,Nyctereutes,donnezani,Inferred_teeth,0.227,0.979,0.046,1.119,0,1.188
Canidae,Nyctereutes,lockwoodi,Inferred_teeth,0.216,0.906,0,1.09,0.04,1.163
Canidae,Nyctereutes,megamastoides,Inferred_teeth,0.213,0.948,0,1.111,0,1.18
Canidae,Nyctereutes,procyonoides,Measured,0,0.606,0.044,0.985,0,1.055
Canidae,Nyctereutes,sinensis,Inferred_teeth,0.231,0.989,0.046,1.125,0,1.199
Canidae,Nyctereutes,terblanchei,Inferred_teeth,0.212,1.065,0.041,1.155,0,1.235
Canidae,Nyctereutes,tingi,Inferred_teeth,0.224,1.126,0.044,1.179,0,1.257
Canidae,Osbornodon,brachypus,Inferred_Phylogeny,0.44,1.407,0.115,1.267,0.115,1.305
Canidae,Osbornodon,fricki,Inferred_teeth,0.372,1.741,0,1.407,0,1.445
Canidae,Osbornodon,iamonensis,Inferred_teeth,0.362,1.388,0,1.256,0,1.3
Canidae,Osbornodon,renjiei,Inferred_teeth,0.284,0.896,0,1.051,0,1.091
Canidae,Osbornodon,scitulus,Inferred_teeth,0.351,1.281,0,1.219,0,1.248
Canidae,Osbornodon,sesnoni,Inferred_teeth,0.296,1.085,0,1.125,0,1.175
Canidae,Osbornodon,wangi,Inferred_teeth,0.325,1.171,0,1.176,0.058,1.198
Canidae,Otarocyon,cooki,Inferred_teeth,0.311,0.26,0,0.813,0,0.814
Canidae,Otarocyon,macdonaldi,Inferred_teeth,0.261,0.168,0,0.748,0,0.799
Canidae,Otocyon,megalotis,Measured,0,0.618,0.056,0.789,0,0.795
Canidae,Otocyon,recki,Inferred_teeth,0.212,0.543,0,0.826,0.056,0.853
Canidae,Oxetocyon,cuspidatus,Inferred_teeth,0.286,0.378,0,0.842,0,0.883
Canidae,Paracynarctus,kelloggi,Inferred_teeth,0.369,1.039,0,1.104,0,1.175
Canidae,Paracynarctus,sinclairi,Inferred_teeth,0.361,0.971,0,1.053,0,1.167
Canidae,Paraenhydrocyon,josephi,Inferred_teeth,0.329,1.067,0,1.122,0,1.163
Canidae,Paraenhydrocyon,robustus,Inferred_teeth,0.351,1.192,0,1.193,0,1.199
Canidae,Paraenhydrocyon,wallovianus,Inferred_teeth,0.352,1.372,0,1.245,0,1.297
Canidae,Paratomarctus,euthos,Inferred_teeth,0.381,1.372,0,1.251,0,1.308
Canidae,Paratomarctus,temerarius,Inferred_teeth,0.373,1.223,0,1.181,0,1.252
Canidae,Philotrox,condoni,Inferred_teeth,0.319,0.872,0,1.228,0,0.907
Canidae,Phlaocyon,achoros,Inferred_teeth,0.332,0.436,0,0.842,0,0.929
Canidae,Phlaocyon,annectens,Inferred_teeth,0.34,0.581,0,0.907,0,0.987
Canidae,Phlaocyon,latidens,Inferred_teeth,0.292,0.437,0,0.86,0,0.914
Canidae,Phlaocyon,leucosteus,Inferred_teeth,0.35,0.625,0,0.942,0,0.989
Canidae,Phlaocyon,mariae,Inferred_teeth,0.356,1.419,0,1.283,0.053,1.316
Canidae,Phlaocyon,marslandensis,Inferred_teeth,0.344,0.762,0,0.998,0,1.049
Canidae,Phlaocyon,minor,Inferred_teeth,0.347,0.575,0,0.921,0,0.969
Canidae,Phlaocyon,multicuspus,Inferred_teeth,0.349,0.747,0,0.987,0.047,1.048
Canidae,Phlaocyon,taylori,Inferred_teeth,0.318,0.243,0,0.785,0,0.826
Canidae,Phlaocyon,yatkolai,Inferred_teeth,0.354,1.136,0.053,1.151,0,1.21
Canidae,Protepicyon,raki,Inferred_teeth,0.366,1.671,0,1.387,0,1.425
Canidae,Protocyon,troglodytes,Inferred_teeth,0.267,1.345,0.061,1.343,0,1.408
Canidae,Protomarctus,optatus,Inferred_teeth,0.364,1.24,0,1.2,0,1.249
Canidae,Prototocyon,curvipalatus,Inferred_Phylogeny,0.353,0.554,0.121,1.029,0.128,1.059
Canidae,Psalidocyon,marianae,Inferred_teeth,0.363,1.083,0,1.13,0,1.187
Canidae,Rhizocyon,oregonensis,Inferred_teeth,0.315,0.55,0,0.91,0,0.959
Canidae,Speothos,venaticus,Measured,0,0.778,0.096,1.15,0.093,1.206
Canidae,Sunkahetanka,geringensis,Inferred_teeth,0.312,1.263,0,1.204,0,1.246
Canidae,Tephrocyon,rurestris,Inferred_teeth,0.363,1.322,0,1.234,0,1.283
Canidae,Theriodictis,floriadanus,Inferred_teeth,0.253,1.285,0.057,1.319,0,1.382
Canidae,Theriodictis,proplatensis,Inferred_Phylogeny,0.352,1.287,0.115,1.32,0.106,1.383
Canidae,Theriodictis,tarijensis,Inferred_teeth,0.267,1.501,0.061,1.406,0,1.476
Canidae,Tomarctus,brevirostris,Inferred_teeth,0.369,1.483,0,1.3,0,1.353
Canidae,Tomarctus,hippophaga,Inferred_teeth,0.378,1.341,0,1.236,0,1.298
Canidae,Urocyon,cinereoargenteus,Measured,0,0.584,0,1.017,0,1.092
Canidae,Urocyon,citrinus,Inferred_teeth,0.189,0.537,0.038,1.016,0,1.079
Canidae,Urocyon,galushai,Inferred_teeth,0.208,0.554,0,1.033,0,1.07
Canidae,Urocyon,littoralis,Measured,0,0.278,0.066,0.939,0.065,1.005
Canidae,Urocyon,minicephalus,Inferred_teeth,0.182,0.481,0,0.994,0,1.066
Canidae,Urocyon,progressus,Inferred_Phylogeny,0.393,0.613,0.133,1.034,0.132,1.089
Canidae,Urocyon,webbi,Inferred_teeth,0.208,0.606,0,1.021,0,1.09
Canidae,Vulpes,angustidens,Inferred_Phylogeny,0.299,0.426,0.107,1.033,0.109,1.052
Canidae,Vulpes,beihaiensis,Inferred_teeth,0.173,0.416,0,1.068,0,1.002
Canidae,Vulpes,bengalensis,Measured,0,0.436,0.067,1.052,0.063,1.073
Canidae,Vulpes,cana,Measured,0,-0.028,0.074,0.915,0.072,0.928
Canidae,Vulpes,chama,Measured,0,0.471,0.047,1.023,0,1.029
Canidae,Vulpes,chikushanensis,Inferred_teeth,0.192,0.584,0,1.085,0,1.122
Canidae,Vulpes,corsac,Measured,0,0.38,0.044,1.055,0,1.081
Canidae,Vulpes,ferrilata,Measured,0,0.699,0.067,1.127,0.063,1.147
Canidae,Vulpes,galaticus,Inferred_teeth,0.173,0.563,0,1.114,0,1.072
Canidae,Vulpes,kernensis,Inferred_teeth,0.219,0.598,0,1.049,0,1.072
Canidae,Vulpes,lagopus,Measured,0,0.687,0.04,1.088,0,1.111
Canidae,Vulpes,macrotis,Measured,0,0.312,0,1.012,0,1.07
Canidae,Vulpes,mathisoni,Inferred_teeth,0.174,0.297,0,0.964,0,0.987
Canidae,Vulpes,pallida,Measured,0,0.447,0.047,0.952,0,0.942
Canidae,Vulpes,pattersoni,Inferred_Phylogeny,0.285,0.437,0.102,1.036,0.102,1.051
Canidae,Vulpes,praecorsac,Inferred_teeth,0.19,0.57,0,1.083,0,1.104
Canidae,Vulpes,praeglacialis,Inferred_teeth,0.192,0.628,0.046,1.115,0,1.138
Canidae,Vulpes,pulcher,Inferred_teeth,0.184,0.573,0.044,1.093,0,1.116
Canidae,Vulpes,riffautae,Inferred_teeth,0.176,0.39,0.039,1.003,0,1.013
Canidae,Vulpes,rueppellii,Measured,0,0.457,0,1.061,0,1.13
Canidae,Vulpes,skinneri,Inferred_teeth,0.181,0.343,0.043,0.998,0,1.011
Canidae,Vulpes,stenognathus,Inferred_teeth,0.276,0.857,0,1.123,0,1.173
Canidae,Vulpes,velox,Measured,0,0.342,0,1.041,0,1.094
Canidae,Vulpes,vulpes,Measured,0,0.726,0.042,1.131,0,1.157
Canidae,Vulpes,zerda,Measured,0,0.041,0.049,0.875,0,0.869
Canidae,Xenocyon,atrox,Inferred_Phylogeny,0.337,1.353,0.106,1.349,0.099,1.389
Canidae,Xenocyon,dubius,Inferred_teeth,0.253,1.354,0.054,1.35,0,1.389
Canidae,Xenocyon,falconeri,Inferred_teeth,0.254,1.502,0.054,1.409,0,1.453
Canidae,Xenocyon,lycaonoides,Inferred_teeth,0.255,1.422,0.054,1.377,0,1.418
Canidae,Xenocyon,texanus,Inferred_teeth,0.252,1.498,0.053,1.408,0,1.452
Eupleridae,Cryptoprocta,ferox,Measured,0,0.978,0.139,1.091,0.139,1.054
Eupleridae,Cryptoprocta,spelea,Measured,0,1.23,0.139,1.162,0.139,1.125
Eupleridae,Eupleres,goudotii,Measured,0,0.477,0.139,0.95,0.139,0.913
Eupleridae,Eupleres,major,Measured,0,0.433,0.139,0.938,0.139,0.901
Eupleridae,Fossa,fossana,Measured,0,0.176,0.139,0.866,0.139,0.829
Eupleridae,Galidia,elegans,Measured,0,-0.097,0.139,0.788,0.139,0.752
Eupleridae,Galidictis,fasciata,Measured,0,-0.26,0.139,0.743,0.139,0.706
Eupleridae,Galidictis,grandidieri,Measured,0,0.146,0.139,0.857,0.139,0.82
Eupleridae,Mungotictis,decemlineata,Measured,0,-0.187,0.139,0.763,0.139,0.727
Eupleridae,Salanoia,concolor,Measured,0,-0.187,0.139,0.763,0.139,0.727
Felidae,Acinonyx,jubatus,Measured,0,1.669,0,1.354,0,1.236
Felidae,Acinonyx,pardinensis,Inferred_teeth,0.2,1.706,0,1.423,0,1.324
Felidae,Adelphailurus,kansensis,Inferred_teeth,0.286,1.652,0,1.398,0,1.176
Felidae,Amphimachairodus,coloradensis,Measured,0,2.236,0.063,1.595,0,1.504
Felidae,Amphimachairodus,giganteus,Inferred_teeth,0.254,2.272,0.067,1.607,0,1.516
Felidae,Amphimachairodus,kabir,Inferred_teeth,0.272,2.332,0.064,1.63,0,1.54
Felidae,Amphimachairodus,kurteni,Inferred_teeth,0.233,2.224,0.064,1.588,0,1.496
Felidae,Asilifelis,coteae,Inferred_teeth,0.19,0.599,0.042,0.985,0,0.869
Felidae,Caracal,aurata,Measured,0,1.027,0,1.215,0,1.076
Felidae,Caracal,caracal,Measured,0,1.138,0,1.199,0,1.079
Felidae,Catopuma,badia,Measured,0,0.398,0,1.061,0,0.944
Felidae,Catopuma,temminckii,Measured,0,1.061,0,1.225,0,1.076
Felidae,Diamantofelis,ferox,Inferred_teeth,0.259,1.39,0.051,1.269,0,1.182
Felidae,Dinofelis,aronoki,Inferred_teeth,0.326,2.032,0,1.542,0,1.43
Felidae,Dinofelis,barlowi,Inferred_teeth,0.335,2.049,0,1.546,0,1.439
Felidae,Dinofelis,cristata,Inferred_teeth,0.335,2.056,0,1.561,0,1.431
Felidae,Dinofelis,diastemata,Inferred_teeth,0.324,1.971,0,1.526,0,1.394
Felidae,Dinofelis,palaeoonca,Inferred_teeth,0.333,1.958,0.041,1.525,0,1.386
Felidae,Dinofelis,petteri,Inferred_teeth,0.332,1.861,0,1.517,0,1.314
Felidae,Dinofelis,piveteaui,Inferred_teeth,0.34,2.145,0,1.606,0,1.462
Felidae,Felis,bieti,Measured,0,0.889,0.069,1.143,0.066,1.008
Felidae,Felis,chaus,Measured,0,0.869,0,1.155,0,1.029
Felidae,Felis,christoli,Inferred_teeth,0.243,1.18,0.045,1.268,0,1.155
Felidae,Felis,lunensis,Inferred_teeth,0.192,0.545,0.045,1.03,0,0.892
Felidae,Felis,margarita,Measured,0,0.402,0,1.004,0,0.881
Felidae,Felis,nigripes,Measured,0,0.114,0,0.987,0,0.82
Felidae,Felis,silvestris,Measured,0,0.74,0.044,1.067,0,0.924
Felidae,Felis,teilhardi,Inferred_teeth,0.181,1.023,0.041,1.242,0,1.121
Felidae,Felis,wenzensis,Inferred_teeth,0.17,0.521,0.039,1.03,0,0.892
Felidae,Fortunictis,acerensis,Inferred_teeth,0.279,2.002,0,1.489,0.05,1.355
Felidae,Herpailurus,yagouaroundi,Measured,0,0.896,0.05,1.11,0,0.959
Felidae,Homotherium,ischyrus,Inferred_teeth,0.201,2.264,0,1.585,0,1.479
Felidae,Homotherium,latidens,Inferred_teeth,0.267,2.258,0,1.614,0,1.465
Felidae,Homotherium,serum,Measured,0,2.267,0,1.592,0,1.445
Felidae,Hyperailurictis,aeluroides,Inferred_teeth,0.297,1.319,0.053,1.246,0,1.196
Felidae,Hyperailurictis,intrepidus,Inferred_teeth,0.32,1.4,0.056,1.276,0,1.233
Felidae,Hyperailurictis,marshi,Inferred_teeth,0.314,1.343,0.06,1.257,0,1.204
Felidae,Hyperailurictis,skinneri,Inferred_teeth,0.284,1.121,0.057,1.171,0,1.104
Felidae,Hyperailurictis,stouti,Inferred_teeth,0.29,0.74,0,1,0,0.954
Felidae,Hyperailurictis,validus,Inferred_teeth,0.288,1.382,0.058,1.277,0,1.217
Felidae,Leopardus,amnicola,Inferred_teeth,0.173,0.668,0,1.134,0,0.982
Felidae,Leopardus,colocolo,Measured,0,0.595,0.039,1.085,0,0.964
Felidae,Leopardus,geoffroyi,Measured,0,0.555,0,1.086,0,1.009
Felidae,Leopardus,guigna,Measured,0,0.348,0,0.973,0,0.863
Felidae,Leopardus,guttulus,Measured,0,0.427,0.061,1.072,0.06,0.956
Felidae,Leopardus,jacobita,Measured,0,0.962,0.045,1.151,0,1.025
Felidae,Leopardus,pardalis,Measured,0,1.076,0,1.22,0,1.107
Felidae,Leopardus,tigrinus,Measured,0,0.352,0,1.127,0,1.009
Felidae,Leopardus,wiedii,Measured,0,0.512,0.039,1.091,0,0.968
Felidae,Leopardus,vorohuensis,Inferred_teeth,0.174,0.559,0,1.057,0,0.949
Felidae,Leptailurus,serval,Measured,0,1.079,0,1.146,0,1.029
Felidae,Lokotunjailurus,emageritus,Inferred_teeth,0.275,2.236,0,1.582,0,1.444
Felidae,Lynx,canadensis,Measured,0,0.972,0.04,1.182,0,1.093
Felidae,Lynx,issiodorensis,Inferred_teeth,0.2,1.203,0,1.262,0,1.161
Felidae,Lynx,longignathus,Inferred_Phylogeny,0.315,1.064,0.103,1.211,0.102,1.094
Felidae,Lynx,lynx,Measured,0,1.254,0,1.283,0,1.215
Felidae,Lynx,pardinus,Measured,0,0.973,0,1.152,0,1.079
Felidae,Lynx,proterolyncis,Inferred_teeth,0.224,1.066,0.046,1.215,0,1.097
Felidae,Lynx,rufus,Measured,0,0.95,0.046,1.137,0,1.025
Felidae,Lynx,thomasi,Inferred_teeth,0.182,1.057,0.044,1.2,0,1.104
Felidae,Machairodus,aphanistus,Inferred_teeth,0.348,2.1,0.071,1.556,0,1.48
Felidae,Machairodus,robinsoni,Inferred_teeth,0.331,1.911,0.066,1.479,0,1.398
Felidae,Machairodus,tanneri,Inferred_teeth,0.333,2.158,0.067,1.579,0,1.505
Felidae,Megantereon,cultridens,Inferred_teeth,0.306,1.991,0,1.497,0,1.322
Felidae,Megantereon,falconeri,Inferred_teeth,0.307,1.744,0,1.378,0.047,1.232
Felidae,Megantereon,hesperus,Inferred_teeth,0.302,1.927,0.046,1.46,0,1.305
Felidae,Megantereon,nihowanensis,Inferred_teeth,0.306,2.031,0,1.502,0,1.35
Felidae,Megantereon,whitei,Inferred_teeth,0.304,1.882,0,1.453,0,1.274
Felidae,Metailurus,hengduanshanensis,Inferred_teeth,0.341,1.827,0.051,1.446,0,1.362
Felidae,Metailurus,major,Inferred_teeth,0.321,1.829,0.051,1.447,0,1.362
Felidae,Metailurus,mongoliensis,Inferred_teeth,0.284,1.545,0.041,1.333,0,1.238
Felidae,Metailurus,obscurus,Inferred_teeth,0.347,1.649,0,1.377,0.065,1.282
Felidae,Metailurus,parvulus,Inferred_teeth,0.315,1.56,0,1.34,0,1.243
Felidae,Miomachairodus,pseudailuroides,Inferred_teeth,0.276,2.109,0.049,1.543,0,1.43
Felidae,Miracinonyx,inexpectatus,Inferred_teeth,0.219,1.44,0,1.423,0,1.124
Felidae,Miracinonyx,trumani,Inferred_teeth,0.217,1.489,0,1.377,0,1.207
Felidae,Namafelis,minor,Inferred_teeth,0.259,1.112,0.051,1.156,0,1.061
Felidae,Neofelis,diardi,Measured,0,1.312,0.076,1.266,0.075,1.134
Felidae,Neofelis,nebulosa,Measured,0,1.312,0,1.262,0,1.107
Felidae,Nimravides,catacopsis,Inferred_teeth,0.326,2.154,0,1.598,0,1.486
Felidae,Nimravides,pedionomus,Inferred_teeth,0.28,1.851,0,1.459,0,1.369
Felidae,Nimravides,thinobates,Inferred_teeth,0.313,2.035,0.051,1.535,0,1.447
Felidae,Otocolobus,manul,Measured,0,0.544,0,1.033,0,0.968
Felidae,Panthera,atrox,Measured,0,2.573,0.045,1.608,0,1.467
Felidae,Panthera,blytheae,Inferred_teeth,0.213,1.433,0,1.263,0,1.215
Felidae,Panthera,gombaszoegensis,Inferred_teeth,0.19,2.103,0.045,1.518,0,1.384
Felidae,Panthera,leo,Measured,0,2.208,0.045,1.546,0,1.415
Felidae,Panthera,onca,Measured,0,2,0,1.519,0,1.354
Felidae,Panthera,palaeosinensis,Inferred_teeth,0.217,1.924,0,1.48,0.047,1.355
Felidae,Panthera,pamiri,Inferred_teeth,0.166,1.472,0,1.314,0,1.207
Felidae,Panthera,pardus,Measured,0,1.74,0,1.383,0,1.249
Felidae,Panthera,spelaea,Measured,0,2.58,0.045,1.615,0,1.476
Felidae,Panthera,tigris,Measured,0,2.211,0,1.539,0.047,1.42
Felidae,Panthera,uncia,Measured,0,1.645,0,1.396,0,1.292
Felidae,Paramachaerodus,maximiliani,Inferred_teeth,0.303,1.855,0,1.462,0,1.332
Felidae,Paramachaerodus,orientalis,Inferred_teeth,0.303,1.851,0,1.447,0,1.342
Felidae,Pardofelis,marmorata,Measured,0,0.455,0.052,1.395,0,1.362
Felidae,Pratifelis,martini,Inferred_teeth,0.279,2.233,0.048,1.59,0,1.47
Felidae,Prionailurus,bengalensis,Measured,0,0.519,0,1.029,0,0.903
Felidae,Prionailurus,planiceps,Measured,0,0.829,0,1.021,0,0.908
Felidae,Prionailurus,rubiginosus,Measured,0,0.141,0,0.892,0,0.771
Felidae,Prionailurus,viverrinus,Measured,0,0.961,0,1.173,0,1.025
Felidae,Pristifelis,attica,Inferred_teeth,0.277,0.947,0.061,1.134,0,1.027
Felidae,Proailurus,bournonnensis,Inferred_teeth,0.265,0.96,0.057,1.121,0,1.045
Felidae,Proailurus,lemanensis,Inferred_teeth,0.272,1.11,0.059,1.182,0,1.111
Felidae,Proailurus,major,Inferred_teeth,0.266,1.233,0.057,1.232,0,1.164
Felidae,Promegantereon,ogygia,Inferred_teeth,0.296,1.682,0,1.401,0,1.286
Felidae,Pseudaelurus,cuspidatus,Inferred_teeth,0.248,1.268,0,1.23,0,1.1
Felidae,Pseudaelurus,guangheensis,Inferred_teeth,0.255,0.967,0,1.079,0.046,0.995
Felidae,Pseudaelurus,quadridentatus,Inferred_teeth,0.302,1.531,0,1.316,0,1.261
Felidae,Pseudaelurus,romieviensis,Inferred_teeth,0.239,1.438,0,1.232,0,1.236
Felidae,Pseudaelurus,transitorius,Inferred_teeth,0.244,1.035,0.045,1.128,0,1.009
Felidae,Puma,concolor,Measured,0,1.713,0,1.358,0,1.23
Felidae,Puma,lacustris,Inferred_teeth,0.217,1.356,0.048,1.319,0,1.185
Felidae,Puma,pardoides,Inferred_teeth,0.303,1.447,0.05,1.382,0,1.283
Felidae,Rhizosmilodon,fiteae,Inferred_teeth,0.284,1.929,0.057,1.473,0,1.347
Felidae,Smilodon,fatalis,Measured,0,2.592,0,1.62,0,1.439
Felidae,Smilodon,gracilis,Inferred_teeth,0.224,2.221,0,1.506,0,1.356
Felidae,Smilodon,populator,Inferred_teeth,0.191,2.535,0,1.63,0,1.461
Felidae,Stenailurus,teilhardi,Inferred_Phylogeny,0.382,1.958,0.115,1.479,0.114,1.348
Felidae,Styriofelis,lorteti,Inferred_teeth,0.303,1.184,0,1.193,0,1.125
Felidae,Styriofelis,turnauensis,Inferred_teeth,0.308,1.114,0.064,1.174,0,1.086
Felidae,Styriofelis,vallesiensis,Inferred_teeth,0.297,0.9,0.058,1.086,0,0.995
Felidae,Xenosmilus,hodsonae,Inferred_teeth,0.273,2.297,0,1.616,0,1.505
Felidae,Yoshi,garevskii,Inferred_teeth,0.304,1.561,0,1.336,0,1.248
Herpestidae,Atilax,mesotes,Inferred_teeth,0.204,0.367,0,0.968,0,0.942
Herpestidae,Atilax,paludinosus,Measured,0,0.519,0,1.072,0.047,1.027
Herpestidae,Bdeogale,crassicauda,Measured,0,0.19,0.091,0.832,0.09,0.815
Herpestidae,Bdeogale,jacksoni,Measured,0,0.398,0.091,0.89,0.09,0.873
Herpestidae,Bdeogale,nigripes,Measured,0,0.398,0.091,0.89,0.09,0.873
Herpestidae,Bdeogale,omnivora,Measured,0,0.243,0.091,0.847,0.09,0.83
Herpestidae,Crossarchus,alexandri,Measured,0,0.176,0.096,0.842,0.091,0.82
Herpestidae,Crossarchus,ansorgei,Measured,0,-0.155,0.096,0.749,0.092,0.727
Herpestidae,Crossarchus,obscurus,Measured,0,0.097,0.096,0.819,0.091,0.797
Herpestidae,Crossarchus,platycephalus,Measured,0,0,0.096,0.792,0.091,0.77
Herpestidae,Crossarchus,transvalensis,Inferred_teeth,0.237,0.247,0.063,0.89,0,0.875
Herpestidae,Cynictis,penicillata,Measured,0,-0.078,0,0.672,0,0.699
Herpestidae,Dologale,dybowskii,Measured,0,-0.456,0.097,0.638,0.096,0.608
Herpestidae,Helogale,hirtula,Measured,0,-0.539,0.089,0.611,0.089,0.578
Herpestidae,Helogale,kitafe,Inferred_teeth,0.227,-0.53,0,0.591,0.048,0.563
Herpestidae,Helogale,palaeogracilis,Inferred_teeth,0.239,-0.298,0,0.699,0,0.653
Herpestidae,Helogale,parvula,Measured,0,-0.523,0.089,0.615,0.089,0.582
Herpestidae,Herpestes,abdelalii,Inferred_teeth,0.229,0.225,0,0.87,0,0.85
Herpestidae,Herpestes,alaylaii,Inferred_teeth,0.217,0.217,0.05,0.861,0,0.836
Herpestidae,Herpestes,auropunctatus,Measured,0,-0.315,0.095,0.711,0.095,0.687
Herpestidae,Herpestes,brachyurus,Measured,0,0.268,0.097,0.872,0.096,0.846
Herpestidae,Herpestes,cadeoti,Inferred_teeth,0.197,0.121,0.044,0.809,0,0.778
Herpestidae,Herpestes,debilis,Inferred_teeth,0.247,-0.25,0.056,0.648,0,0.602
Herpestidae,Herpestes,dissimilis,Inferred_teeth,0.243,0.768,0.055,1.072,0,1.061
Herpestidae,Herpestes,edwardsii,Measured,0,0.122,0.095,0.833,0.095,0.809
Herpestidae,Herpestes,flavescens,Measured,0,-0.125,0.097,0.756,0.095,0.731
Herpestidae,Herpestes,fuscus,Measured,0,0.431,0.096,0.919,0.096,0.893
Herpestidae,Herpestes,ichneumon,Measured,0,0.714,0,0.982,0.056,0.955
Herpestidae,Herpestes,javanicus,Measured,0,-0.125,0.095,0.764,0.095,0.74
Herpestidae,Herpestes,naso,Measured,0,0.477,0,0.978,0,0.954
Herpestidae,Herpestes,ochraceus,Measured,0,-0.303,0.098,0.708,0.095,0.683
Herpestidae,Herpestes,palaeoserengetensis,Inferred_teeth,0.239,0.24,0,0.857,0,0.875
Herpestidae,Herpestes,pulverulentus,Measured,0,-0.099,0,0.863,0,0.806
Herpestidae,Herpestes,sanguineus,Measured,0,-0.26,0,0.789,0,0.736
Herpestidae,Herpestes,semitorquatus,Measured,0,0.544,0.097,0.946,0.097,0.919
Herpestidae,Herpestes,smithii,Measured,0,0.251,0.097,0.868,0.096,0.842
Herpestidae,Herpestes,urva,Measured,0,0.27,0.097,0.869,0.098,0.842
Herpestidae,Herpestes,vitticollis,Measured,0,0.411,0.097,0.913,0.096,0.886
Herpestidae,Herpestides,aegypticus,Inferred_teeth,0.257,0.371,0.058,0.912,0,0.881
Herpestidae,Herpestides,aequatorialis,Inferred_teeth,0.252,0.347,0.056,0.903,0,0.871
Herpestidae,Herpestides,afarensis,Inferred_teeth,0.316,-0.131,0.071,0.709,0,0.663
Herpestidae,Herpestides,antiquus,Inferred_teeth,0.234,0.492,0.052,0.962,0,0.934
Herpestidae,Herpestides,compactus,Inferred_teeth,0.231,0.538,0.052,0.98,0,0.954
Herpestidae,Ichneumia,albicauda,Measured,0,0.544,0,0.996,0.058,0.958
Herpestidae,Ichneumia,nims,Inferred_teeth,0.244,0.136,0.058,0.824,0,0.792
Herpestidae,Leptoplesictis,atavus,Inferred_teeth,0.19,-0.08,0.043,0.727,0,0.69
Herpestidae,Leptoplesictis,aurelianensis,Inferred_teeth,0.276,-0.036,0.062,0.748,0,0.708
Herpestidae,Leptoplesictis,filholi,Inferred_teeth,0.328,-0.217,0,0.653,0.072,0.641
Herpestidae,Leptoplesictis,mbitensis,Inferred_teeth,0.214,-0.042,0.048,0.745,0,0.705
Herpestidae,Leptoplesictis,namibiensis,Inferred_teeth,0.211,0.448,0.047,0.943,0,0.919
Herpestidae,Leptoplesictis,rangwai,Inferred_teeth,0.212,-0.194,0.048,0.684,0,0.639
Herpestidae,Leptoplesictis,senutae,Inferred_teeth,0.211,0.125,0.048,0.812,0,0.778
Herpestidae,Liberiictis,kuhni,Measured,0,0.332,0.104,0.843,0.103,0.816
Herpestidae,Mungos,dietrichi,Inferred_teeth,0.222,0.266,0,0.763,0,0.763
Herpestidae,Mungos,gambianus,Measured,0,0.176,0.083,0.74,0.082,0.716
Herpestidae,Mungos,minutus,Inferred_teeth,0.204,0.089,0.044,0.693,0,0.663
Herpestidae,Mungos,mungo,Measured,0,0.284,0,0.716,0,0.672
Herpestidae,Paracynictis,selousi,Measured,0,0.215,0.083,0.815,0.082,0.81
Herpestidae,Rhynchogale,melleri,Measured,0,0.398,0.092,0.89,0.091,0.871
Herpestidae,Suricata,major,Inferred_teeth,0.206,0.235,0,0.848,0,0.796
Herpestidae,Suricata,suricatta,Measured,0,-0.139,0,0.643,0,0.643
Hyanidae,Adcrocuta,eximia,Inferred_teeth,0.248,1.787,0,1.579,0,1.442
Hyanidae,Allohyaena,kadici,Inferred_teeth,0.226,1.791,0,1.6,0,1.423
Hyanidae,Belbus,beaumonti,Inferred_teeth,0.202,1.635,0.037,1.503,0,1.393
Hyanidae,Belbus,djurabensis,Inferred_teeth,0.205,1.365,0,1.38,0,1.288
Hyanidae,Chasmaporthetes,australis,Inferred_teeth,0.249,1.82,0,1.592,0,1.457
Hyanidae,Chasmaporthetes,bonisi,Inferred_teeth,0.238,1.745,0,1.541,0,1.444
Hyanidae,Chasmaporthetes,borissiaki,Inferred_teeth,0.258,1.669,0,1.528,0,1.394
Hyanidae,Chasmaporthetes,exitelus,Inferred_teeth,0.241,1.649,0,1.509,0.041,1.395
Hyanidae,Chasmaporthetes,lunensis,Inferred_teeth,0.275,1.665,0,1.522,0,1.396
Hyanidae,Chasmaporthetes,melei,Inferred_teeth,0.282,1.542,0,1.465,0.046,1.349
